愛戴	àidài	love and respect
愛國	àiguó	love one's country, patriotic
安頓	āndùn	find place for, help settle down
安撫	ānfǔ	placate, pacify
安寧	ānníng	peaceful, tranquil, calm, composed, free from worry
安詳	ānxiáng	leisurely, unhurried
安置	ānzhì	find place for, help settle down, arrange for
安裝	ānzhuāng	install, erect, fix, mount
暗暗	ànàn	secretly, inwardly, to oneself
案件	ànjiàn	a legal case, a police case
按摩	ànmó	massage
案情	ànqíng	details of a case
案子	ànzi	case of law/ etc.
昂貴	ángguì	expensive, costly
奧妙	àomiào	profound, subtle
懊惱	àonǎo	vexed, upset, displeased, annoyed
八卦	bāguà	Eight Trigrams of {Book of Changes}
八字	bāzì	character for eight, birthdate characters used in fortune-telling
把持	bǎchí	monopolize, dominate
把手	bǎshǒu	handle, grip
拜拜	bàibài	to do obeisance to, to worship, to prostrate oneself
拜會	bàihuì	pay sb. a visit
班車	bānchē	regular bus service
頒發	bānfā	issue, promulgate, award
頒獎	bānjiǎng	present reward/ honor
辦案	bànàn	handle case, handle a case
半島	bàndǎo	peninsula
包袱	bāofú	cloth wrapper, burden, bundle wrapped in cloth
包圍	bāowéi	surround, encircle
保安	bǎoān	ensure safety for workers, ensure public security, public_security, protection, ensure safety
寶貝	bǎobèi	treasure, love dearly
保管	bǎoguǎn	take care of
飽和	bǎohé	satiate, saturate
飽滿	bǎomǎn	full, wax
保姆	bǎomǔ	nursemaid, baby sitter
保全	bǎoquán	keep safe, preserve, maintain
寶石	bǎoshí	precious stone, gem
保險	bǎoxiǎn	safe; secure 
保佑	bǎoyòu	bless and protect
保重	bǎozhòng	take care of oneself
報案	bàoàn	report case to security authorities
報表	bàobiǎo	forms for reporting statistics/ etc.
報酬	bàochóu	reward, remuneration, pay
爆發	bàofā	erupt, burst/ break out
抱負	bàofù	aspiration, ambition
報復	bàofù	retaliate
報關	bàoguān	declare sth. at customs, apply to customs, declare at customs
報價	bàojià	quotation
報刊	bàokān	press, periodical publications, newspapers and periodicals
暴力	bàolì	violent
報應	bàoyìng	retribution, judgment
暴雨	bàoyǔ	torrential rain, cloudburst
報章	bàozhāng	newspapers
悲哀	bēiāi	grieved, sorrowful
悲觀	bēiguān	pessimistic
貝殼	bèiké	clamshell
倍數	bèishù	multiple
背誦	bèisòng	recite, repeat from memory
背心	bèixīn	sleeveless garment, vest
被子	bèizi	quilt
奔騰	bēnténg	gallop, surge forward, roll on in waves
本身	běnshēn	itself, oneself, per se
本事	běnshì	skill, ability
本位	běnwèi	the viewpoint of one's own job; the position; the department or line of work
本性	běnxìng	natural instincts, nature, inherent quality
本質	běnzhí	essence, nature, intrinsic quality
崩潰	bēngkuì	collapse, fall apart
鼻孔	bíkǒng	nostril
鼻涕	bítì	nasal mucus
筆畫	bǐhuà	strokes of Ch. character
筆錄	bǐlù	notes, record,[Formal] to take down in writing 
比率	bǐlǜ	ratio, rate
比擬	bǐnǐ	compare, match, draw analogy
比喻	bǐyù	metaphor, analogy
比重	bǐzhòng	proportion, specific gravity
必備	bìbèi	essential
必定	bìdìng	certainly, surely
閉幕	bìmù	the curtain falls, conclude, lower the curtain, curtain falls, close
避難	bìnàn	take refuge, seek asylum
必然	bìrán	certainly
畢生	bìshēng	all one's life, lifetime
閉塞	bìsè	constipate, congest, clog, clog up, choke, stop up, foul, choke off, obturate, close up, back up, oppilate
避孕	bìyùn	contracept
幣值	bìzhí	currency value
編輯	biānjí	editor, compiler
編輯	biānjí	edit, compile
邊界	biānjiè	boundary, border
編寫	biānxiě	compile, write, compose
邊緣	biānyuán	edge, fringe, brink, margin, borderline
編織	biānzhī	to weave; to knit; to plait; to braid; to crochet 
編制	biānzhì	authorized staff/ force
編製	biānzhì	to weave or braid into something, to draw up a plan, etc.; to compile
匾額	biǎné	horizontal inscribed board
貶值	biǎnzhí	devalue, devaluate, depreciate
變革	biàngé	change, revolution
辯護	biànhù	speak in defense of, plead, defend
辯論	biànlùn	argue, debate
變遷	biànqiān	vicissitudinary, change
辨認	biànrèn	identify, recognize
辨識	biànshì	identify
變通	biàntōng	be flexible
變形	biànxíng	be out of shape, become deformed
標籤	biāoqiān	label
標語	biāoyǔ	slogan, poster
表白	biǎobái	vindicate/ explain oneself
表明	biǎomíng	make known, indicate
別墅	biéshù	villa
賓館	bīnguǎn	guesthouse
病床	bìngchuáng	hospital bed, sickbed
併發	bìngfā	to begin at the same time; to erupt at the same time 
病菌	bìngjùn	pathogenic bacteria, germs
並列	bìngliè	appose, juxtapose
病情	bìngqíng	patient's condition
並重	bìngzhòng	lay equal stress on, pay equal attention to
波及	bōjí	affect, spread to
波浪	bōlàng	wave
剝削	bōxuè	exploit
搏鬥	bódòu	buffet
播出	bòchū	broadcast, disseminate
不便	búbiàn	inconvenient, inappropriate
不力	búlì	not to do one's best; not to exert oneself 
不料	búliào	unexpectedly
不下	búxià	not less
不肖	búxiào	[Formal] unworthy; good-for-nothing
不懈	búxiè	persevere, be untiring
不致	búzhì	not as bad as
不再	búzài	not happen/ exist anymore
補給	bǔjǐ	supply
補救	bǔjiù	remedy
不得	bùdé	must/ may not, not be allowed
不等	bùděng	vary in number
步調	bùdiào	pace, step, tempo
不凡	bùfán	extraordinary, unusual, distinguished, uncommon 
不妨	bùfáng	might as well
不法	bùfǎ	lawless, illegal
不服	bùfú	refuse to obey
不公	bùgōng	unfair
不光	bùguāng	not only
不及	bùjí	not as good as, inferior to
不禁	bùjīn	can't help doing sth.
不堪	bùkān	can't bear/ stand
部落	bùluò	tribe
不免	bùmiǎn	unavoidably
不容	bùróng	not tolerate/ brook
不時	bùshí	frequently, at any time
部署	bùshǔ	dispose, deploy
不惜	bùxí	not stint, not hesitate to do sth.
步驟	bùzòu	step, measure, move
猜測	cāicè	guess, surmise
猜忌	cāijì	be suspicious and jealous
猜想	cāixiǎng	suppose, suspect, guess
裁縫	cáiféng	tailor, dressmaker
裁減	cáijiǎn	reduce, trim
財團	cáituán	a consortium, a syndicate, big business, a money clique
裁員	cáiyuán	reduce staff, comb_out, reduce the staff, discharge, cut down the member of persons employed
財政	cáizhèng	finance
才智	cáizhì	brilliance
採訪	cǎifǎng	cover, interview, gather news
採光	cǎiguāng	lighting
彩繪	cǎihuì	colored drawing/ pattern
採納	cǎinà	accept, adopt
採取	cǎiqǔ	take, adopt
餐具	cānjù	tableware, dinner service/ set
參謀	cānmóu	staff officer
參與	cānyù	participate in
殘暴	cánbào	cruel
殘酷	cánkù	brutal, ruthless
殘殺	cánshā	murder, massacre
慘重	cǎnzhòng	heavy, grievous, disastrous
燦爛	cànlàn	magnificent, splendid, resplendent
蒼白	cāngbái	pale, pallid, wan
蒼蠅	cāngyíng	fly
操縱	cāozòng	operate, control, rig, manipulate
草案	cǎoàn	a draft, a draft plan, a protocol, an outline
草叢	cǎocóng	thick growth of grass
草率	cǎoshuài	hurry, slur, careless
草藥	cǎoyào	medicinal herbs
詞彙	cíhuì	vocabulary, words and phrases
慈善	císhàn	benevolent, philanthropic
辭行	cíxíng	say good-bye  before starting journey, say good-bye before setting out on a journey
辭職	cízhí	resign
此刻	cǐkè	this moment, now, at present
伺候	cìhòu	wait upon, serve
刺殺	cìshā	stab to death
次要	cìyào	less important, secondary, subordinate, minor
匆忙	cōngmáng	in a hurry, hastily
從容	cōngróng	calm, unhurried, leisurely
從而	cóngér	thus, thereby
湊巧	còuqiǎo	by luck, by chance
粗糙	cūcāo	coarse, rough, crude
粗魯	cūlǔ	ill-mannered
促成	cùchéng	facilitate, effect
促使	cùshǐ	impel, urge, spur
促銷	cùxiāo	merchandise, sell
簇擁	cùyǒng	cluster around
摧殘	cuīcán	wreck, destroy, devastate
摧毀	cuīhuǐ	destroy, smash, wreck
催眠	cuīmián	lull to sleep, hypnotize, mesmerize
脆弱	cuìruò	fragile, frail, weak
存貨	cúnhuò	goods in stock, existing stock
磋商	cuōshāng	consult, exchange views
撮合	cuòhé	make a match
措施	cuòshī	measure, step
差額	chāé	difference in amount; balance; margin; odds 
插曲	chāqǔ	theatrical interlude, songs in films/ plays
插嘴	chāzuǐ	to break into a conversation or statement; to put in 
茶具	chájù	tea set
察覺	chájué	realize, be aware
查明	chámíng	find out, look, prove through investigation, detect, ascertain, prove, inquire
潺潺	chánchán	bable, purl, murmur
產物	chǎnwù	outcome, result; product
產值	chǎnzhí	value of output
猖獗	chāngjué	rage, run wild, be rampant
長遠	chángyuǎn	long-term, long-range
場次	chǎngcì	the number of showings of a film, play, etc.
場面	chǎngmiàn	scene, spectacle, occasion, appearance, scope
倡導	chàngdǎo	propose
唱腔	chàngqiāng	of Chinese opera music for voices in a Chinese opera 
暢銷	chàngxiāo	sell well
超速	chāosù	exceed speed limit
超脫	chāotuō	1unconventional; original, 2to be detached; to stand aloof; to keep aloof 
抄襲	chāoxí	plagiarize, indiscriminately copy from others
吵嘴	chǎozuǐ	quarrel
車輛	chēliàng	vehicle, car
車廂	chēxiāng	railway carriage/ car
撤回	chèhuí	recede, dispense with, countermand, retreat, foreswear, unsay, relinquish, unmake, pull back, recall, withdrawn, retraction, retire, withdraw, abjure, waive, pull away, repeal, swallow, recant, draw_back, unspeak, revoke, withdrawal, draw back, move back, retract, forgo, forswear
撤銷	chèxiāo	cancel, rescind, revoke
沉默	chénmò	reticent, taciturn, silent
沉思	chénsī	ponder, meditate, be lost in thought
塵土	chéntǔ	dust
沉重	chénzhòng	heavy, serious
稱號	chēnghào	title, name, designation
稱呼	chēnghū	call, address
撐腰	chēngyāo	bolster
成敗	chéngbài	success or failure
承包	chéngbāo	contract, farming
承擔	chéngdān	bear, undertake, assume
成見	chéngjiàn	preconceived idea, prejudice
成就	chéngjiù	achieve, accomplish
承諾	chéngnuò	promise
成品	chéngpǐn	end/ finished product
成全	chéngquán	help sb. achieve his aim
程式	chéngshì	program, form, pattern, formula
成效	chéngxiào	effect, result
呈獻	chéngxiàn	respectfully present
誠心	chéngxīn	sincere desire, wholeheartedness
成衣	chéngyī	tailoring, ready-made clothes
成員	chéngyuán	member
誠摯	chéngzhì	sincere
吃驚	chījīng	be startled/ shocked/ amazed
吃苦	chīkǔ	bear hardship, suffer hardships, bear hardships
吃力	chīlì	entail strenuous effort, be a strain
遲鈍	chídùn	torpify, constipate, obtuse, opaque, rust
持久	chíjiǔ	lasting, protracted
持平	chípíng	be equalized
持續	chíxù	continue, persist
池子	chízi	pond, big bathhouse pool, dance floor, front rows in theater
充斥	chōngchì	congest, be full of
沖淡	chōngdàn	attemper, qualify, dilution, play down, step down, temper, season, cut, reduce, weaken, water_down, efface, dilute, thin, water down, de-escalate, thin out, understate
衝動	chōngdòng	get excited, be impetuous
衝擊	chōngjí	1[Military] to charge; to assault; to attack; to strike against 2to lash; to pound
憧憬	chōngjǐng	long for, look forward to
沖天	chōngtiān	to soar, rocket
衝突	chōngtú	conflict, clash
充裕	chōngyù	abundant; ample; plentiful
重疊	chóngdié	overlap, superpose
崇尚	chóngshàng	uphold, advocate
寵愛	chǒngài	dote on
抽查	chōuchá	spot-check
抽空	chōukòng	take advantage of any free time
抽象	chōuxiàng	abstract
抽樣	chōuyàng	sample
仇恨	chóuhèn	hatred, enmity
稠密	chóumì	close-woven;dense
出超	chūchāo	export surplus, favourable balance of trade, favorable balance of trade
出錯	chūcuò	go wrong, goof, make a mistake, make a goof, blunder, make mistakes, make a blunder, err
出局	chūjú	out of game
出力	chūlì	exert oneself
出路	chūlù	way out, outlet
出馬	chūmǎ	take the lead, take the field, go into action, bear responsibility
出賣	chūmài	betray
出面	chūmiàn	appear personally, act in one's own capacity or on behalf of an organization
出名	chūmíng	famous, well-known
出品	chūpǐn	product
初期	chūqí	initial stage, early days
出示	chūshì	show, produce
出手	chūshǒu	dispose/ sell of, spend money
出頭	chūtóu	det.: a litter over
出頭	chūtóu	1free oneself from misery, persecution, etc.;2lift one's head, appear in public, come forward
出土	chūtǔ	be  unearthed, come  out  of  the  ground
出息	chūxí	promise, prospect, future
出血	chūxiě	bleed
儲備	chúbèi	lay in, stock up, reserve
鋤頭	chútóu	hoe
處方	chǔfāng	prescription
處分	chǔfèn	punishment
處分	chǔfèn	discipline/ punish sb.
處境	chǔjìng	situation usu. unfavorable
處事	chǔshì	deal with affairs
處於	chǔyú	be in a certain condition
處女	chùnǚ	virgin
穿梭	chuānsuō	shuttle back and forth
傳遞	chuándì	transmit, deliver, transfer
傳奇	chuánqí	legend
傳奇	chuánqí	legendary, mythical
傳神	chuánshén	conveying the true spirit of the subject portrayed
傳授	chuánshòu	pass on skill/ etc.,impart, teach
船隻	chuánzhī	boat, ship
創辦	chuàngbàn	establish, set up
創立	chuànglì	found, originate
創傷	chuāngshāng	wound, trauma
創新	chuàngxīn	bring forth new ideas, blaze new trails
創業	chuàngyè	start undertaking, do pioneering work
創作	chuàngzuò	create, produce, write
吹牛	chuīniú	talk big
垂直	chuízhí	perpendicular, vertical
搭配	dāpèi	group, pair
答覆	dáfù	answer, reply
打鬥	dǎdòu	tussle
打賭	dǎdǔ	make a bet, bet
