桌面	zhuōmiàn	1. desktop;2. tabletop
 擲	zhì	1. to toss;2. to throw dice;3. Taiwan pr. [zhi2]
 過時	guòshí	1. old-fashioned;2. out of date;3. to be later than the time stipulated or agreed upon
 孽子	nièzi	1. unfilial son;2. unworthy son;3. illegitimate son;4. concubine's son
 樹幹	shùgàn	1. tree trunk
 怕	pà	1. to be afraid;2. to fear;3. to dread;4. to be unable to endure;5. perhaps
 狗吠	gǒufèi	1. bark;2. CL:聲|声[sheng1];3. to bark
 滾滾	gǔngǔn	1. nickname for a panda;2. to surge on;3. to roll on
 懷胎	huáitāi	1. to become pregnant;2. to carry a child in the womb
 亂糟糟	luànzāozāo	1. chaotic;2. topsy turvy;3. a complete mess
 跳	tiào	1. to jump;2. to hop;3. to skip over;4. to bounce;5. to palpitate
 糞	fèn	1. manure;2. dung
 兩句	liǎngjù	1. (say) a few words
 報曉	bàoxiǎo	1. to herald the break of day
 歌謠	gēyáo	1. folksong;2. ballad;3. nursery rhyme
 那種	nàzhǒng	1. that;2. that kind of;3. that sort of;4. that type of
 午後	wǔhòu	1. afternoon
 這時	zhèshí	1. at this time;2. at this moment
 游動	yóudòng	1. to move about;2. to go from place to place;3. roving;4. mobile
 織布	zhībù	1. woven cloth;2. to weave cloth
 緊緊	jǐnjǐn	1. closely;2. tightly
 兜售	dōushòu	1. to hawk;2. to peddle
 真心實意	zhēnxīnshíyì	1. genuine and sincere (idiom);2. wholehearted
 壓住	yāzhù	1. to press down;2. to crush down;3. to restrain (anger);4. to keep down (voice)
 里	lǐ	1. li, ancient measure of length, approx. 500 m;2. neighborhood;3. ancient administrative unit of 25 families;4. (Tw) borough, administrative unit between the township 鎮|镇[zhen4] and neighborhood 鄰|邻[lin2] levels
 低下	dīxià	1. low status;2. lowly;3. to lower (one's head)
 牛	niú	1. ox;2. cow;3. bull;4. CL:條|条[tiao2],頭|头[tou2];5. newton (abbr. for 牛頓|牛顿[niu2 dun4]);6. (slang) awesome
 請安	qǐngān	1. to pay respects;2. to wish good health;3. in Qing times, a specific form of salutation (see also 打千[da3 qian1])
 打	dǎ	1. dozen (loanword);2. to beat;3. to strike;4. to hit;5. to break;6. to type;7. to mix up;8. to build;9. to fight;10. to fetch;11. to make;12. to tie up;13. to issue;14. to shoot;15. to calculate;16. to play (a game);17. since;18. from
 變得	biàndé	1. to become
 雞	jī	1. fowl;2. chicken;3. CL:隻|只[zhi1];4. (slang) prostitute
 照看	zhàokàn	1. to look after;2. to attend to;3. to have in care
 那個	nàgè	1. that one;2. that thing;3. that (as opposed to this);4. (used before a verb or adjective for emphasis);5. (used to humorously or indirectly refer to sth embarrassing, funny etc, or when one can't think of the right word);6. (used in speech as a filler, similar to "umm", "you know" etc);7. (euph.) menstruation;8. sex;9. also pr. [nei4 ge5]
 長	zhǎng	1. length;2. long;3. forever;4. always;5. constantly;6. chief;7. head;8. elder;9. to grow;10. to develop;11. to increase;12. to enhance
 風聲	fēngshēng	1. sound of the wind;2. rumor;3. talk;4. news;5. reputation
 摸牌	mōpái	1. to draw a tile (at mahjong);2. to play mahjong
 有著	yǒuzhù	1. to have;2. to possess
 撩起	liāoqǐ	1. to raise;2. to lift up (curtains, clothing etc)
 化緣	huàyuán	1. (of a monk) to beg
 揚長而去	yángzhǎngérqù	1. to swagger off;2. to walk off (or drive off etc) without a second thought for those left behind
 黿	yuán	1. sea turtle
 世面	shìmiàn	1. aspects of society;2. the world
 哭喪	kūsàng	1. to wail at a funeral;2. formal wailing while offering sacrifice to the departed
 臭味	chòuwèi	1. bad smell;2. foul odor
 遊玩	yóuwán	1. to amuse oneself;2. to have fun;3. to go sightseeing;4. to take a stroll
 紋絲不動	wénsībùdòng	1. to not move a single jot (idiom)
 遠處	yuǎnchù	1. distant place
 一會	yīhuì	1. a moment;2. a while;3. in a moment;4. also pr. [yi1 hui3]
 起勁	qǐjìn	1. vigorously;2. energetically;3. enthusiastically
 丈人	zhàngrén	1. wife's father (father-in-law);2. old man
 頻頻	pínpín	1. repeatedly;2. again and again;3. continuously;4. constantly
 村莊	cūnzhuāng	1. village;2. hamlet;3. CL:座[zuo4]
 道	dào	1. road;2. path;3. CL:條|条[tiao2],股[gu3];4. principle;5. truth;6. morality;7. reason;8. skill;9. method;10. Dao (of Daoism);11. to say;12. to speak;13. to talk;14. classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process;15. (old) circuit (administrative division)
 擋住	dǎngzhù	1. to obstruct
 舀水	yǎoshuǐ	1. to ladle water;2. to scoop up water
 褲襠	kùdāng	1. crotch of trousers
 臉蛋	liǎndàn	1. cheek;2. face
 褲管	kùguǎn	1. trouser leg
 哄笑	hōngxiào	1. to roar with laughter;2. hoots of laughter;3. guffaw
 躲	duǒ	1. to hide;2. to dodge;3. to avoid
 孤身	gūshēn	1. alone;2. lonely
 掙脫	zhēngtuō	1. to throw off;2. to struggle free of;3. Taiwan pr. [zheng1 tuo1]
 爹	diē	1. dad
 一塊	yīkuài	1. one block;2. one piece;3. one (unit of money);4. together;5. in the same place;6. in company
 大肚子	dàdǔzi	1. pregnant;2. potbelly;3. big eater
 一聲	yīshēng	1. first tone in Mandarin (high, level tone)
 身手	shēnshǒu	1. skill;2. talent;3. agility
 喝醉	hēzuì	1. to get drunk
 凶	xiōng	1. vicious;2. fierce;3. ominous;4. inauspicious;5. famine;6. variant of 兇|凶[xiong1]
 那天	nàtiān	1. that day;2. the other day
 飛	fēi	1. to fly
 一次	yīcì	1. first;2. first time;3. once;4. (math.) linear (of degree one)
 城門	chéngmén	1. city gate
 浪蕩	làngdàng	1. to loiter;2. to hang around;3. dissolute;4. licentious
 怔	zhēng	1. to stare blankly;2. startled;3. stumped for words;4. to stare blankly
 逼	bī	1. to force (sb to do sth);2. to compel;3. to press for;4. to extort;5. to press on towards;6. to press up to;7. to close in on;8. euphemistic variant of 屄[bi1]
 心想	xīnxiǎng	1. to think to oneself;2. to think;3. to assume
 犯愁	fànchóu	1. to worry;2. to be anxious
 讓位	ràngwèi	1. to abdicate;2. to yield
 坐下	zuòxià	1. to sit down
 稀奇	xīqí	1. rare;2. strange
 安分	ānfèn	1. content with one's lot;2. knowing one's place
 聽話	tīnghuà	1. to do what one is told;2. obedient
 頂撞	dǐngzhuàng	1. to contradict (elders or superiors)
 泥巴	níbā	1. mud
 田埂	tiángěng	1. embankment or foothpath between paddy fields
 十有八九	shíyǒubājiǔ	1. most likely;2. mostly (in 8 or 9 cases out of 10);3. vast majority
 們	men	1. plural marker for pronouns, and nouns referring to individuals
 娘	niáng	1. mother;2. young lady;3. (coll.) effeminate
 手電	shǒudiàn	1. flashlight;2. torch
 賞心悅目	shǎngxīnyuèmù	1. warms the heart and delights the eye (idiom);2. pleasing;3. delightful
 過	guò	1. to cross;2. to go over;3. to pass (time);4. to celebrate (a holiday);5. to live;6. to get along;7. excessively;8. too-;9. (experienced action marker)
 賭注	dǔzhù	1. stake (in a gamble);2. (what is at) stake
 草帽	cǎomào	1. straw hat
 幾次	jǐcì	1. several times
 前	qián	1. front;2. forward;3. ahead;4. first;5. top (followed by a number);6. future;7. ago;8. before;9. BC (e.g. 前293年);10. former;11. formerly
 草鞋	cǎoxié	1. straw sandals
 河水	héshuǐ	1. river water
 好事	hǎoshì	1. good action, deed, thing or work (also sarcastic, "a fine thing indeed");2. charity;3. happy occasion;4. Daoist or Buddhist ceremony for the souls of the dead;5. to be meddlesome
 學時	xuéshí	1. class hour;2. period
 跑	pǎo	1. (of an animal) to paw (the ground);2. to run;3. to run away;4. to escape;5. to run around (on errands etc);6. (of a gas or liquid) to leak or evaporate;7. (verb complement) away;8. off
 路途遙遠	lùtúyáoyuǎn	1. distant;2. far-flung
 鴨子	yāzi	1. duck;2. male prostitute (slang)
 幾個	jǐgè	1. a few;2. several;3. how many
 天剛亮	tiāngāngliàng	1. daybreak
 見	jiàn	1. to see;2. to meet;3. to appear (to be sth);4. to interview;5. to appear;6. also written 現|现[xian4]
 做生意	zuòshēngyì	1. to do business
 走過	zǒuguò	1. to walk past;2. to pass by
 走近	zǒujìn	1. to approach;2. to draw near to
 青樓	qīnglóu	1. (literary) brothel;2. pleasure quarters
 只	zhǐ	1. only;2. merely;3. just;4. but
 手腳	shǒujiǎo	1. hand and foot;2. movement of limbs;3. action;4. trick;5. step in a procedure (CL: 道[dao4])
 見到	jiàndào	1. to see
 起	qǐ	1. to rise;2. to raise;3. to get up;4. to set out;5. to start;6. to appear;7. to launch;8. to initiate (action);9. to draft;10. to establish;11. to get (from a depot or counter);12. verb suffix, to start;13. starting from (a time, place, price etc);14. classifier for occurrences or unpredictable events: case, instance;15. classifier for groups: batch, group
 沒	méi	1. (negative prefix for verbs);2. have not;3. not;4. drowned;5. to end;6. to die;7. to inundate
 會長	huìzhǎng	1. president of a club, committee etc
 左思右想	zuǒsīyòuxiǎng	1. to turn over in one's mind (idiom); to think through from different angles;2. to ponder
 拍手	pāishǒu	1. to clap one's hands
 偷雞摸狗	tōujīmōgǒu	1. to imitate the dog and steal chicken (idiom);2. to pilfer;3. to dally with women;4. to have affairs
 把頭	bǎtóu	1. labor contractor;2. gangmaster
 定	dìng	1. to set;2. to fix;3. to determine;4. to decide;5. to order
 一頭	yītóu	1. one head;2. a head full of sth;3. one end (of a stick);4. one side;5. headlong;6. directly;7. rapidly;8. simultaneously
 風騷	fēngsāo	1. literary excellence;2. flirtatious behavior
