他感冒了。	tā gǎn mào le。	He caught a cold.
不用麻烦了。	bù yòng má fan le。	Don't bother.
很好，谢谢。	hěn hǎo， xiè xie。	Fine, thanks.
我这就上路。	wǒ zhè jiù shàng lù。	I'm on my way.
让我想一想。	ràng wǒ xiǎng yī xiǎng。	Let me see.
不是我的错。	bú shì wǒ de cuò。	It's not my fault.
都是我的错。	dōu shì wǒ de cuò。	It's all my fault.
你干得很好。	nǐ gàn de hěn hào。	You did a good job.
我每晚洗澡.	wǒ měi wǎn xǐ zǎo.	I bath every night.
他年近四十。	tā nián jìn sì shí。	He is near forty.
这需要时间。	zhè xū yào shí jiān。	It takes time.
我不太清楚。	wǒ bù tài qīng chu。	I'm not really sure.
电话响了。	diàn huà xiǎng le。	The telephone is ringing.
我怎么知道。	wǒ zěn me zhī dào。	How should I know.
母牛流产了。	mǔ niú liú chǎn le。	The cow cast her calf.
它不是手表。	tā bú shì shǒu biǎo。	It is not a watch.
请把门打开。	qǐng bǎ mén dǎ kāi。	Open the door, please.
谢谢您，先生。	xiè xie nín， xiān sheng。	Thank you, sir.
你会习惯的。	nǐ kuài xí guàn de。	You'll get used to it.
啤酒走了气了。	pí jiǔ zǒu le qì le。	The beer is stale.
我马上就来。	wǒ mǎ shàng jiù lái。	I'll be right with you.
把这本书给她。	bǎ zhè běn shū jǐ tā。	Give her the book.
他唱最高音部。	tā chàng zuì gāo yīn bù。	He sings treble.
也许下一次吧。	yě xǔ xià yī cì ba。	Maybe some other time.
他正在开会。	tā zhèng zài kāi huì。	He is in conference.
好久不见了。	hǎo jiǔ bù jiàn le。	Haven't seen you for ages.
请再说一遍。	qǐng zài shuō yī biàn。	Say that again, please.
谢谢您，先生。	xiè xie nín， xiān sheng。	Thank you, sir.
一切都会好的。	yī qiè dū huì hǎo de。	Everything will be OK.
他喜欢吹牛。	tā xǐ huan chuī niú。	He likes to throw the bull.
她穿上袜子。	tā chuān shàng wà zi。	She draws on her socks.
我有许多唱片。	wǒ yǒu xǔ duō chàng piàn。	I have many discs.
日子不好过啊。	rì zi bù hǎo guò a。	Pretty tough day to day.
我的钢笔是新的。	wǒ de gāng bǐ shì xīn de。	My pen is new.
他不喜欢吃鱼。	tā bù xǐ huan jí yú。	He doesn't care for fish.
很高兴认识你。	hěn gāo xìng rèn shi nǐ。	It's nice meeting you.
这对我太合适了。	zhè duì wǒ tài hé shì le。	Suits me fine.
是的，当然可以。	shì de， dāng rán kě yǐ。	Yes, certainly.
我坐在他旁边。	wǒ zuò zài tā páng biān。	I sat by his side.
他在她的旁边。	tā zài tā de páng biān。	He is being side her.
请把菜单给我。	qǐng bǎ cài dān jǐ wǒ。	Please show me the menu.
他刚请假走了.	tā gāng qǐng jià zǒu le.	He's just gone on leave.
我的电话坏了。	wǒ de diàn huà huài le。	My phone was out of order.
你的眼力不错。	nǐ de yǎn lì bù cuò。	You've made a good choice.
六除以二得三。	liù chú yǐ èr de sān。	Six divided by two is three.
我正要找你。	wǒ zhèng yào zhǎo nǐ。	Just the man I was looking for.
我确实得走了。	wǒ què shí de zǒu le。	I really have to be going.
他跳上了桌子。	tā tiào shàng le zhuō zi。	He jumped onto the table.
出现了新困难.	chū xiàn le xīn kùn nan.	A new difficulty has arisen.
昨晚是满月。	zuó wǎn shì mǎn yuè。	Last night there was a full moon.
他的帽子没戴正.	tā de mào zi mò dài zhèng.	His hat isn't on straight.
他也学习汉语。	tā yě xué xí Hàn yǔ。	He studies Chinese as well.
祝你下一次好运。	zhù nǐ xià yī cì hǎo yùn。	Better luck next time.
他比我大两岁。	tā bì wǒ dà liǎng suì。	He is my senior by two years.
这对我正合适。	zhè duì wǒ zhèng hé shì。	That suits me all right.
这方便得多了。	zhè fāng biàn de duō le。	It's much more convenient.
他跳上了桌子。	tā tiào shàng le zhuō zi。	He jumped onto the table.
我每天早上刮脸.	wǒ měi tiān zǎo shang guā liǎn.	I shave every morning.
下周学校复课。	xià zhōu xué xiào fù kè。	School reopens next week.
我看你不应该。	wǒ kàn nǐ bù yīng gāi。	I don't think you ought to.
祝你生日快乐。	zhù nǐ shēng rì kuài lè。	I wish you a happy birthday.
你得等一等看。	nǐ de děng yī děng kàn。	You will have to wait and see.
你过来试试看。	nǐ guò lai shì shì kàn。	Come on over to have a try.
我们是六点出发的.	wǒ men shì liù diǎn chū fā de.	We started at six.
